plant_ID,date,inflorescence_width,inflorescence_height,stem_height,plant_height
CM001,2017-07-26,0,0,17.422761179136167,79.74803149606299
CM001,2017-07-28,0,0,18.126184923520363,80.49230769230769
CM001,2017-07-30,0,0,15.63157894736842,75.63157894736841
CM001,2017-08-01,0,0,10.713439119992131,81.66666666666666
CM001,2017-08-02,0,0,21.03558889121006,78.24
CM001,2017-08-03,0,0,20.79480278133653,77.36842105263158
CM001,2017-08-05,0,0,21.711492092642757,81.5
CM001,2017-08-07,0,0,23.598355788262516,78.64864864864866
CM001,2017-08-09,0,0,22.296168136552232,76.42105263157895
CM001,2017-08-11,0,0,25.586743451311133,75.47368421052632
CM001,2017-08-13,2.8421052631578947,4.7368421052631575,35.82958278811076,75.1578947368421
CM001,2017-08-15,2.526315789473684,2.8421052631578947,44.627265183785724,74.52631578947368
CM001,2017-08-16,2.88,6.72,49.556109613245475,75.68
CM001,2017-08-17,3.1578947368421053,14.526315789473683,45.78947368421052,73.89473684210526
CM001,2017-08-19,5.692975698101035,26.849534575578915,50.20580911307038,77.05263157894737
CM001,2017-08-21,7.263157894736842,36.0,50.47546783523255,85.73684210526315
CM001,2017-08-23,8.066551436491453,21.678205606967335,65.62896208854704,86.68421052631578
CM001,2017-08-25,8.265001470506778,24.795004411520335,62.344632371965815,86.52631578947368
CM001,2017-08-27,8.712290169639669,25.682367492114118,62.99531411144801,88.16
CM001,2017-08-29,8.993166574287901,22.524737623913463,64.09156041195911,85.71428571428571
CM001,2017-08-30,8.640571184807758,22.75217930248248,63.95993011102908,85.71428571428571
